TransactionID,TransactionDate,BankName,CustomerID,AccountType,Branch,TransactionType,Amount,Balance,LoanFlag,RiskCategory,Channel,CustomerAge,Gender,CityTier
202503-1,2025-03-01,SBI,18415,Current,Mumbai,Debit,12515,92152,Yes,Low,ATM,67,Male,Tier 2
202503-2,2025-03-02,BOB,72292,Savings,Bangalore,Debit,45502,135036,No,Medium,ATM,27,Female,Tier 3
202503-3,2025-03-03,Yes Bank,33833,Loan,Mumbai,Debit,6754,396193,No,Medium,Online,22,Female,Tier 1
202503-4,2025-03-04,PNB,14158,Current,Bangalore,Credit,17644,36734,No,Medium,ATM,40,Female,Tier 1
202503-5,2025-03-05,BOB,72680,Loan,Delhi,Credit,24714,409587,Yes,High,Online,27,Female,Tier 2
202503-6,2025-03-06,Axis,30309,Savings,Delhi,Credit,40618,36069,Yes,High,Online,61,Male,Tier 2
202503-7,2025-03-07,BOB,16970,Current,Delhi,Credit,15683,220977,No,Low,ATM,19,Male,Tier 2
202503-8,2025-03-08,HDFC,82474,Loan,Bangalore,Debit,6738,22910,No,Medium,Branch,30,Female,Tier 3
202503-9,2025-03-09,ICICI,96704,Savings,Chennai,Debit,6590,345623,No,High,ATM,57,Male,Tier 3
202503-10,2025-03-10,HDFC,56540,Current,Delhi,Credit,12137,480951,No,Medium,UPI,19,Male,Tier 2
202503-11,2025-03-11,BOB,30384,Current,Bangalore,Debit,22915,91264,Yes,Low,Online,37,Female,Tier 3
202503-12,2025-03-12,ICICI,28017,Savings,Delhi,Credit,24571,33275,No,High,UPI,18,Male,Tier 3
202503-13,2025-03-13,Axis,85880,Current,Delhi,Credit,45915,82274,No,High,UPI,54,Male,Tier 1
202503-14,2025-03-14,ICICI,18702,Loan,Pune,Credit,43179,484665,Yes,Medium,UPI,26,Female,Tier 3
202503-15,2025-03-15,Yes Bank,10384,Savings,Bangalore,Debit,41740,372920,No,Low,UPI,34,Male,Tier 1
202503-16,2025-03-16,SBI,10404,Savings,Delhi,Credit,18771,201076,Yes,Low,UPI,26,Female,Tier 2
202503-17,2025-03-17,BOB,50943,Savings,Mumbai,Credit,36534,204053,No,Low,ATM,28,Female,Tier 2
202503-18,2025-03-18,ICICI,57926,Savings,Delhi,Credit,33934,487875,No,High,ATM,32,Female,Tier 3
202503-19,2025-03-19,ICICI,39189,Current,Pune,Debit,4688,195625,No,Low,UPI,41,Male,Tier 3
202503-20,2025-03-20,BOB,22763,Current,Chennai,Debit,10661,58447,No,Low,UPI,55,Male,Tier 2
202503-21,2025-03-21,BOB,28384,Current,Chennai,Debit,29232,437745,No,Medium,Branch,52,Female,Tier 3
