TransactionID,TransactionDate,BankName,CustomerID,AccountType,Branch,TransactionType,Amount,Balance,LoanFlag,RiskCategory,Channel,CustomerAge,Gender,CityTier
202506-1,2025-06-01,BOB,84319,Loan,Delhi,Debit,12503,348404,No,Medium,ATM,55,Female,Tier 2
202506-2,2025-06-02,Yes Bank,58787,Current,Delhi,Credit,44085,169476,Yes,Medium,UPI,36,Female,Tier 2
202506-3,2025-06-03,BOB,45488,Savings,Delhi,Credit,27458,244554,No,Medium,Branch,23,Female,Tier 2
202506-4,2025-06-04,Kotak,84441,Current,Bangalore,Credit,26517,170928,Yes,High,Online,51,Male,Tier 3
202506-5,2025-06-05,ICICI,84663,Current,Mumbai,Debit,11671,150272,No,High,Branch,35,Female,Tier 1
202506-6,2025-06-06,HDFC,32431,Loan,Chennai,Debit,45850,336322,Yes,Low,Branch,30,Male,Tier 3
202506-7,2025-06-07,ICICI,71681,Current,Chennai,Debit,12701,306141,No,Low,ATM,58,Female,Tier 1
202506-8,2025-06-08,Yes Bank,73483,Current,Delhi,Credit,29926,428827,No,Medium,UPI,40,Male,Tier 3
202506-9,2025-06-09,BOB,59153,Current,Pune,Debit,18278,129273,No,Low,Online,36,Female,Tier 3
202506-10,2025-06-10,ICICI,16368,Savings,Bangalore,Debit,45741,182307,Yes,Low,Branch,62,Male,Tier 3
202506-11,2025-06-11,SBI,37424,Loan,Delhi,Debit,42729,258500,No,Low,Online,28,Female,Tier 1
202506-12,2025-06-12,Axis,55004,Current,Pune,Debit,21616,176129,Yes,Medium,Online,18,Male,Tier 3
202506-13,2025-06-13,BOB,93869,Current,Chennai,Debit,48864,142311,Yes,Medium,Online,41,Male,Tier 2
202506-14,2025-06-14,Kotak,98652,Current,Pune,Credit,33797,244746,No,High,Online,24,Male,Tier 3
202506-15,2025-06-15,Kotak,66985,Loan,Delhi,Debit,19842,255546,Yes,High,Branch,42,Female,Tier 3
202506-16,2025-06-16,SBI,60069,Current,Pune,Credit,27990,206733,Yes,High,ATM,38,Male,Tier 3
202506-17,2025-06-17,SBI,62326,Loan,Pune,Credit,20475,136945,No,Low,UPI,32,Male,Tier 1
202506-18,2025-06-18,Axis,91061,Current,Pune,Credit,27223,55272,No,Medium,Branch,18,Male,Tier 3
202506-19,2025-06-19,HDFC,33398,Current,Mumbai,Credit,23779,361537,Yes,Medium,Online,29,Male,Tier 2
202506-20,2025-06-20,Yes Bank,60861,Current,Pune,Credit,13265,333356,No,High,Branch,24,Male,Tier 1
202506-21,2025-06-21,BOB,85897,Savings,Chennai,Credit,47178,156470,Yes,Low,Branch,32,Male,Tier 2
202506-22,2025-06-22,Axis,91905,Savings,Chennai,Credit,12061,130030,Yes,Low,Branch,38,Male,Tier 1
202506-23,2025-06-23,HDFC,78577,Savings,Bangalore,Debit,42399,328647,No,Low,UPI,36,Female,Tier 3
202506-24,2025-06-24,Yes Bank,75641,Current,Pune,Credit,1025,409854,Yes,Low,ATM,46,Female,Tier 3
202506-25,2025-06-25,Axis,19078,Savings,Delhi,Debit,23361,16570,No,Medium,UPI,42,Male,Tier 3
202506-26,2025-06-26,Axis,35003,Loan,Mumbai,Credit,49653,340929,Yes,High,Branch,50,Male,Tier 3
202506-27,2025-06-27,Axis,72768,Current,Delhi,Debit,33642,19110,Yes,Low,Branch,66,Female,Tier 1
202506-28,2025-06-28,Axis,61047,Savings,Chennai,Debit,27416,89141,No,High,ATM,49,Male,Tier 1
202506-29,2025-06-29,HDFC,81626,Loan,Delhi,Debit,45465,22115,No,High,Online,66,Male,Tier 2
202506-30,2025-06-30,SBI,67660,Current,Pune,Debit,5148,49062,No,High,Branch,52,Male,Tier 2
202506-31,2025-07-01,ICICI,59786,Savings,Chennai,Debit,35633,295055,No,Medium,Branch,61,Male,Tier 2
