TransactionID,TransactionDate,BankName,CustomerID,AccountType,Branch,TransactionType,Amount,Balance,LoanFlag,RiskCategory,Channel,CustomerAge,Gender,CityTier
202504-1,2025-04-01,PNB,54028,Savings,Delhi,Credit,29234,97955,Yes,High,Branch,43,Male,Tier 3
202504-2,2025-04-02,Axis,74484,Loan,Bangalore,Credit,5257,226586,No,Medium,Online,46,Female,Tier 1
202504-3,2025-04-03,ICICI,42154,Loan,Delhi,Debit,19597,113145,No,Low,ATM,38,Male,Tier 1
202504-4,2025-04-04,BOB,92870,Loan,Pune,Credit,10895,156430,Yes,Medium,UPI,28,Female,Tier 3
202504-5,2025-04-05,Kotak,12336,Savings,Mumbai,Debit,16741,240785,Yes,Medium,Branch,57,Male,Tier 3
202504-6,2025-04-06,PNB,77779,Savings,Delhi,Debit,38856,104914,No,Medium,UPI,28,Male,Tier 1
202504-7,2025-04-07,ICICI,29029,Current,Chennai,Credit,28196,375014,Yes,Low,ATM,53,Male,Tier 3
202504-8,2025-04-08,Kotak,69201,Savings,Mumbai,Credit,5444,217990,No,Low,Online,66,Male,Tier 1
202504-9,2025-04-09,Yes Bank,42265,Savings,Mumbai,Credit,46663,388387,Yes,High,Branch,56,Female,Tier 2
202504-10,2025-04-10,PNB,53872,Savings,Chennai,Debit,20316,24596,No,Medium,Online,57,Female,Tier 1
202504-11,2025-04-11,BOB,56197,Savings,Pune,Debit,37511,436788,Yes,High,ATM,52,Female,Tier 3
202504-12,2025-04-12,SBI,65180,Savings,Delhi,Credit,25417,481973,Yes,Low,Online,51,Female,Tier 2
202504-13,2025-04-13,Yes Bank,33710,Current,Delhi,Credit,31695,142351,No,High,Online,64,Female,Tier 2
202504-14,2025-04-14,Kotak,39486,Savings,Pune,Debit,22066,204269,Yes,High,Branch,41,Female,Tier 1
202504-15,2025-04-15,BOB,81907,Savings,Pune,Credit,10416,383640,Yes,High,Online,39,Male,Tier 1
202504-16,2025-04-16,SBI,81895,Loan,Chennai,Debit,21306,402417,No,Medium,ATM,22,Male,Tier 2
202504-17,2025-04-17,HDFC,74435,Current,Pune,Credit,10484,465732,No,Medium,Online,50,Female,Tier 3
202504-18,2025-04-18,BOB,50631,Loan,Pune,Credit,2259,148155,Yes,High,Branch,53,Female,Tier 3
202504-19,2025-04-19,BOB,30103,Current,Pune,Debit,42449,130674,Yes,Medium,ATM,64,Male,Tier 1
202504-20,2025-04-20,HDFC,74772,Current,Chennai,Credit,27338,392451,Yes,Low,UPI,37,Male,Tier 3
202504-21,2025-04-21,BOB,24382,Savings,Chennai,Credit,2982,267529,Yes,Medium,Online,36,Male,Tier 1
202504-22,2025-04-22,PNB,94291,Savings,Bangalore,Debit,24942,250469,Yes,Low,ATM,52,Female,Tier 3
202504-23,2025-04-23,ICICI,13756,Savings,Delhi,Credit,34219,420987,Yes,High,ATM,69,Female,Tier 3
202504-24,2025-04-24,Axis,30609,Loan,Chennai,Debit,28465,433191,Yes,Low,Online,60,Male,Tier 1
202504-25,2025-04-25,SBI,26478,Loan,Mumbai,Credit,2579,448864,No,Low,Branch,34,Male,Tier 2
202504-26,2025-04-26,SBI,49666,Savings,Delhi,Credit,3217,266713,Yes,High,Online,62,Female,Tier 3
202504-27,2025-04-27,Yes Bank,85683,Current,Chennai,Credit,28452,451501,No,Low,ATM,60,Female,Tier 2
202504-28,2025-04-28,Kotak,81315,Loan,Bangalore,Debit,21408,29063,Yes,High,ATM,51,Female,Tier 2
202504-29,2025-04-29,Kotak,87834,Savings,Chennai,Debit,42960,77642,Yes,Low,UPI,26,Male,Tier 3
202504-30,2025-04-30,HDFC,24153,Loan,Pune,Debit,25361,100093,Yes,Low,UPI,43,Male,Tier 1
202504-31,2025-05-01,Axis,86325,Savings,Chennai,Credit,7811,227215,Yes,Medium,Online,19,Male,Tier 1
